Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,sexe,LC,Escape,Sa,Va,Du,Al,Gr,Co,Ca,type,commentaire,fond,
3,17,8,2009,Gpaulin,,,,,26,TR,1,3,f,60,,1,1,0,1,1,0,0,,,,
7,17,8,2009,Gpaulin,,,,,26,TR,1,7,m,32,,0,0,0,1,0,1,0,,,,
8,17,8,2009,Gpaulin,,,,,27,TR,1,8,,,,0,0,0,1,0,1,0,,,,
9,17,8,2009,Gpaulin,,,,,29,TR,1,9,,,,1,1,0,1,1,1,0,,,,
12,17,8,2009,Gpaulin,,,,,28,TR,1,12,,,,0,1,0,1,1,1,0,,,,
19,17,8,2009,Gpaulin,,,,,30,TR,1,19,f,30,,0,1,0,0,1,0,0,,,,
20,17,8,2009,Gpaulin,,,,,30,TR,1,19,m,25,,0,1,0,0,1,0,0,,,,
22,17,8,2009,Bcomeau,,,,,26,TR,1,1,,,,,,,,,,,,LS,,
23,17,8,2009,Bcomeau,,,,,26,TR,1,2,,,,,,,,,,,,,,
24,17,8,2009,Bcomeau,,,,,26,TR,1,3,,,,,,,,,,,,,,
26,17,8,2009,Bcomeau,,,,,26,TR,1,5,m,78,,,,,,,,,,,,
27,17,8,2009,Bcomeau,,,,,27,TR,1,6,,,,,,,,,,,,,,
29,17,8,2009,Bcomeau,,,,,27,TR,1,8,,,,,,,,,,,,,,
30,17,8,2009,Bcomeau,,,,,29,TR,1,9,,,,,,,,,,,,2ls,,
31,17,8,2009,Bcomeau,,,,,28,TR,1,10,,,,,,,,,,,,,,
32,17,8,2009,Bcomeau,,,,,28,TR,1,11,f,52,,,,,,,,,,ls,,
34,17,8,2009,Bcomeau,,,,,28,TR,1,13,m,55,,,,,,,,,,ls,,
35,17,8,2009,Bcomeau,,,,,28,TR,1,13,m,15,,,,,,,,,,,,
36,17,8,2009,Bcomeau,,,,,29,TR,1,14,f,67,,,,,,,,,,,,
41,17,8,2009,Bcomeau,,,,,30,TR,1,19,,,,,,,,,,,,,,
42,17,8,2009,Bcomeau,,,,,31,TR,1,20,,,,,,,,,,,,ls,,
45,17,8,2009,Gpaulin,,,,,22,TR,2,3,m,81,,,,,,,,,,,,
47,17,8,2009,Gpaulin,,,,,22,TR,2,5,m,52,,,,,,,,,,,,
48,17,8,2009,Gpaulin,,,,,22,TR,2,6,f,46,,,,,,,,,,,,
49,17,8,2009,Gpaulin,,,,,22,TR,2,7,,,,,,,,,,,,,,
50,17,8,2009,Gpaulin,,,,,22,TR,2,8,,,,,,,,,,,,,,
51,17,8,2009,Gpaulin,,,,,22,TR,2,9,,,,,,,,,,,,,,
52,17,8,2009,Gpaulin,,,,,22,TR,2,10,f,45,,,,,,,,,,,,
54,17,8,2009,Gpaulin,,,,,20,TR,2,12,m,35,,,,,,,,,,,,
55,17,8,2009,Gpaulin,,,,,20,TR,2,13,,,,,,,,,,,,,,
57,17,8,2009,Gpaulin,,,,,20,TR,2,15,,,,,,,,,,,,,,
58,17,8,2009,Gpaulin,,,,,20,TR,2,16,f,45,,,,,,,,,,,,
59,17,8,2009,Gpaulin,,,,,20,TR,2,17,,,,,,,,,,,,,,
60,17,8,2009,Gpaulin,,,,,20,TR,2,18,m,80,,,,,,,,,,,,
61,17,8,2009,Gpaulin,,,,,20,TR,2,18,f,60,,,,,,,,,,,,
62,17,8,2009,Gpaulin,,,,,20,TR,2,18,f,110,,,,,,,,,,,,
63,17,8,2009,Gpaulin,,,,,20,TR,2,19,m,40,,,,,,,,,,,,
64,17,8,2009,Gpaulin,,,,,20,TR,2,19,f,50,,,,,,,,,,,,
65,17,8,2009,Gpaulin,,,,,20,TR,2,19,m,55,,,,,,,,,,,,
72,17,8,2009,Bcomeau,,,,,20,TR,2,6,,,,,,,,,,,,,,
73,17,8,2009,Bcomeau,,,,,20,TR,2,7,,,,,,,,,,,,,,
77,17,8,2009,Bcomeau,,,,,20,TR,2,11,m,41,,,,,,,,,,,,
79,17,8,2009,Bcomeau,,,,,20,TR,2,13,f,50,,,,,,,,,,,,
80,17,8,2009,Bcomeau,,,,,20,TR,2,13,f,45,,,,,,,,,,,,
81,17,8,2009,Bcomeau,,,,,20,TR,2,14,,,,,,,,,,,,ls,,
82,17,8,2009,Bcomeau,,,,,20,TR,2,15,,,,,,,,,,,,3ls,,
83,17,8,2009,Bcomeau,,,,,20,TR,2,16,,,,,,,,,,,,2ls,,
84,17,8,2009,Bcomeau,,,,,20,TR,2,17,,,,,,,,,,,,2ls,,
85,17,8,2009,Bcomeau,,,,,20,TR,2,18,m,54,,,,,,,,,,,,
86,17,8,2009,Bcomeau,,,,,20,TR,2,18,i,150,,,,,,,,,,,,
87,17,8,2009,Bcomeau,,,,,20,TR,2,18,m,42,,,,,,,,,,,,
88,17,8,2009,Bcomeau,,,,,20,TR,2,19,f,56,,,,,,,,,,,,
89,17,8,2009,Bcomeau,,,,,20,TR,2,19,m,42,,,,,,,,,,,,
90,17,8,2009,Bcomeau,,,,,20,TR,2,20,,,,,,,,,,,,,,
91,17,8,2009,Gpaulin,,,,,20,TR,3,1,,,,,,,,,,,,,,
92,17,8,2009,Gpaulin,,,,,20,TR,3,2,f,62,,,,,,,,,,,,
93,17,8,2009,Gpaulin,,,,,20,TR,3,3,,,,,,,,,,,,,,
94,17,8,2009,Gpaulin,,,,,20,TR,3,4,m,24,,,,,,,,,,,,
95,17,8,2009,Gpaulin,,,,,20,TR,3,5,,,,,,,,,,,,,,
96,17,8,2009,Gpaulin,,,,,22,TR,3,6,f,120,,,,,,,,,,,,
97,17,8,2009,Gpaulin,,,,,22,TR,3,6,f,75,,,,,,,,,,,,
98,17,8,2009,Gpaulin,,,,,22,TR,3,7,m,75,,,,,,,,,,,,
99,17,8,2009,Gpaulin,,,,,22,TR,3,8,f,45,,,,,,,,,,,,
100,17,8,2009,Gpaulin,,,,,22,TR,3,9,m,35,,,,,,,,,,,,
101,17,8,2009,Gpaulin,,,,,22,TR,3,10,f,78,,,,,,,,,,,,
102,17,8,2009,Gpaulin,,,,,22,TR,3,11,f,67,,,,,,,,,,,,
103,17,8,2009,Gpaulin,,,,,22,TR,3,11,m,55,,,,,,,,,,,,
104,17,8,2009,Gpaulin,,,,,22,TR,3,12,f,45,,,,,,,,,,,,
105,17,8,2009,Gpaulin,,,,,22,TR,3,13,m,50,,,,,,,,,,,,
106,17,8,2009,Gpaulin,,,,,22,TR,3,14,m,24,,,,,,,,,,,,
107,17,8,2009,Gpaulin,,,,,22,TR,3,14,m,15,,,,,,,,,,,,
108,17,8,2009,Gpaulin,,,,,23,TR,3,15,,,,,,,,,,,,,,
118,17,8,2009,Bcomeau,,,,,20,TR,3,5,f,51,,,,,,,,,,,,
119,17,8,2009,Bcomeau,,,,,22,TR,3,6,m,61,,,,,,,,,,,,
120,17,8,2009,Bcomeau,,,,,22,TR,3,6,f,25,,,,,,,,,,,,
121,17,8,2009,Bcomeau,,,,,22,TR,3,7,m,58,,,,,,,,,,,,
122,17,8,2009,Bcomeau,,,,,22,TR,3,8,f,70,,,,,,,,,,,,
123,17,8,2009,Bcomeau,,,,,22,TR,3,9,f,46,,,,,,,,,,,,
124,17,8,2009,Bcomeau,,,,,22,TR,3,9,m,55,,,,,,,,,,,,
125,17,8,2009,Bcomeau,,,,,22,TR,3,10,,,,,,,,,,,,,,
126,17,8,2009,Bcomeau,,,,,22,TR,3,11,m,21,,,,,,,,,,,,
127,17,8,2009,Bcomeau,,,,,22,TR,3,12,m,21,,,,,,,,,,,,
128,17,8,2009,Bcomeau,,,,,22,TR,3,13,f,82,,,,,,,,,,,,
129,17,8,2009,Bcomeau,,,,,22,TR,3,13,m,75,,,,,,,,,,,,
130,17,8,2009,Bcomeau,,,,,22,TR,3,14,m,25,,,,,,,,,,,,
131,17,8,2009,Bcomeau,,,,,22,TR,3,14,m,64,,,,,,,,,,,,
132,17,8,2009,Bcomeau,,,,,22,TR,3,14,f,52,,,,,,,,,,,,
133,17,8,2009,Bcomeau,,,,,22,TR,3,14,f,56,,,,,,,,,,,,
134,17,8,2009,Bcomeau,,,,,22,TR,3,14,m,52,,,,,,,,,,,,
135,17,8,2009,Bcomeau,,,,,22,TR,3,15,m,54,,,,,,,,,,,,
139,17,8,2009,Bcomeau,,,,,23,TR,3,19,,,,,,,,,,,,,,
140,17,8,2009,Bcomeau,,,,,23,TR,3,20,,,,,,,,,,,,,,
141,30,8,2010,Mcomeau,,,,,28,TR,1,2,,,,,,,,,,,,,,
142,30,8,2010,Mcomeau,,,,,28,TR,1,3,,,,,,,,,,,,,,
143,30,8,2010,Mcomeau,,,,,28,TR,1,4,,,,,,,,,,,,,,
144,30,8,2010,Mcomeau,,,,,28,TR,1,5,m,52,,,,,,,,,,,,
145,30,8,2010,Mcomeau,,,,,28,TR,1,6,m,72,,,,,,,,,,,,
146,30,8,2010,Mcomeau,,,,,28,TR,1,6,f,43,,,,,,,,,,,,
147,30,8,2010,Mcomeau,,,,,28,TR,1,8,f,45,,,,,,,,,,,,
148,30,8,2010,Mcomeau,,,,,28,TR,1,8,m,45,,,,,,,,,,,,
149,30,8,2010,Mcomeau,,,,,28,TR,1,9,f,75,,,,,,,,,,,,
150,30,8,2010,Mcomeau,,,,,28,TR,1,11,m,59,,,,,,,,,,,,
151,30,8,2010,Mcomeau,,,,,28,TR,1,13,,,,,,,,,,,,,,
152,30,8,2010,Mcomeau,,,,,28,TR,1,14,m,52,,,,,,,,,,,,
153,30,8,2010,Mcomeau,,,,,28,TR,1,14,f,36,,,,,,,,,,,,
154,30,8,2010,Mcomeau,,,,,28,TR,1,14,b1,75,,,,,,,,,,,,
155,30,8,2010,Mcomeau,,,,,28,TR,1,15,f,69,,,,,,,,,,,,
156,30,8,2010,Mcomeau,,,,,28,TR,1,15,m,126,,,,,,,,,,,,
157,30,8,2010,Mcomeau,,,,,28,TR,1,16,m,54,,,,,,,,,,,,
158,30,8,2010,Mcomeau,,,,,28,TR,1,17,f,64,,,,,,,,,,,,
159,30,8,2010,Mcomeau,,,,,28,TR,1,17,m,44,,,,,,,,,,,,
160,30,8,2010,Mcomeau,,,,,28,TR,1,18,,,,,,,,,,,,,,
161,30,8,2010,Mcomeau,,,,,28,TR,1,19,b1,73,,,,,,,,,,,,
162,30,8,2010,Mcomeau,,,,,28,TR,1,20,,,,,,,,,,,,,,
163,30,8,2010,Bcomeau,,,,,28,TR,1,1,f,69,,,,,,,,,,,,
164,30,8,2010,Bcomeau,,,,,28,TR,1,1,m,35,,,,,,,,,,,,
165,30,8,2010,Bcomeau,,,,,28,TR,1,2,,,,,,,,,,,,,,
166,30,8,2010,Bcomeau,,,,,28,TR,1,3,,,,,,,,,,,,,,
167,30,8,2010,Bcomeau,,,,,28,TR,1,4,,,,,,,,,,,,,,
168,30,8,2010,Bcomeau,,,,,28,TR,1,5,m,30,,,,,,,,,,,,
169,30,8,2010,Bcomeau,,,,,28,TR,1,5,m,65,,,,,,,,,,,,
170,30,8,2010,Bcomeau,,,,,28,TR,1,6,f,44,,,,,,,,,,,,
171,30,8,2010,Bcomeau,,,,,28,TR,1,7,m,20,,,,,,,,,,,,
172,30,8,2010,Bcomeau,,,,,28,TR,1,7,b1,72,,,,,,,,,,,,
173,30,8,2010,Bcomeau,,,,,28,TR,1,8,f,65,,,,,,,,,,,,
174,30,8,2010,Bcomeau,,,,,28,TR,1,8,m,18,,,,,,,,,,,,
175,30,8,2010,Bcomeau,,,,,28,TR,1,9,f,70,,,,,,,,,,,,
176,30,8,2010,Bcomeau,,,,,28,TR,1,10,,,,,,,,,,,,,,
177,30,8,2010,Bcomeau,,,,,28,TR,1,11,,,,,,,,,,,,,,
178,30,8,2010,Bcomeau,,,,,28,TR,1,12,m,60,,,,,,,,,,,,
179,30,8,2010,Bcomeau,,,,,28,TR,1,13,,,,,,,,,,,,,,
180,30,8,2010,Bcomeau,,,,,28,TR,1,14,,,,,,,,,,,,,,
181,30,8,2010,Bcomeau,,,,,28,TR,1,16,f,31,,,,,,,,,,,,
182,30,8,2010,Bcomeau,,,,,28,TR,1,16,m,35,,,,,,,,,,,,
183,30,8,2010,Bcomeau,,,,,28,TR,1,16,f,45,,,,,,,,,,,,
184,30,8,2010,Bcomeau,,,,,28,TR,1,16,f,24,,,,,,,,,,,,
185,30,8,2010,Bcomeau,,,,,28,TR,1,16,m,20,,,,,,,,,,,,
186,30,8,2010,Bcomeau,,,,,28,TR,1,17,b1,80,,,,,,,,,,,,
